cd	6	29	3d	f	f
cb	6	f	3b	f	89
8b	2f	8b	3a	cf	188
4d	8f	128	37	3d	2b
cf	15	1c	3b	3d	49
cf	45	19	3d	cd	4c
cf	15	1d	3d	cd	8a
8d	3e	29	3d	f	f
4b	ce	f	3b	f	89
cf	15	f	39	f	49
cf	45	19	39	f	f
cf	47	2a	cb	3d	49
cf	47	19	cd	cd	8a
cf	27	2a	cb	3d	49
cf	27	19	cd	cd	8a
cf	87	2a	cb	3d	49
cf	17	2a	cb	3d	49
cf	7	2a	cb	3d	49
cf	87	19	cd	cd	8a
cf	17	19	cd	cd	8a
cf	7	19	cd	cd	8a
8b	2e	f	3b	f	89
4d	8e	29	3d	f	f
8b	2f	f	3e	cf	188
4d	8f	128	37	3f	f
8b	2f	f	3a	cf	188
4d	8f	128	35	3f	f
8b	2f	f	3e	cd	188
4d	8f	128	37	3d	f
8b	2f	f	cb	f	9
4d	8f	9	cd	f	f
8b	2f	4d	3e	cf	188
4d	8f	128	37	3f	1d
8b	2f	f	3b	f	9
4d	8f	9	3d	f	f
4d	4f	29	cd	f	f
8b	1f	f	cb	f	89
8b	2f	f	39	f	49
4d	8f	19	39	f	f
8b	2e	f	3c	f	c9
4d	8e	39	33	f	f
4f	8e	f	3c	f	c9
4f	8e	39	33	f	f
8f	2e	f	3c	f	c9
8f	2e	39	33	f	f
cb	6	f	3c	f	c9
cd	6	39	33	f	f
8d	3e	39	33	f	f
4b	ce	f	3c	f	c9
8b	3e	f	3c	f	c9
4d	ce	39	33	f	f
4d	8f	128	35	3f	2b
8b	2f	8b	3e	cd	188
cf	14	2d	3c	f	c9
cf	14	d	3c	f	c9
cf	14	8d	3c	f	c9
cf	44	39	33	f	2d
cf	44	39	33	f	d
cf	44	39	33	f	8d
cf	6	2d	3c	f	c9
cf	6	d	3c	f	c9
cf	6	8d	3c	f	c9
cf	6	39	33	f	2d
cf	6	39	33	f	d
cf	6	39	33	f	8d
cf	14	1d	3c	4d	c9
cf	44	39	33	1d	4d
4f	8e	2d	3c	f	c9
4f	8e	d	3c	f	c9
4f	8e	8d	3c	f	c9
4f	8e	39	33	f	2d
4f	8e	39	33	f	d
4f	8e	39	33	f	8d
8f	2e	2d	3c	f	c9
8f	2e	d	3c	f	c9
8f	2e	8d	3c	f	c9
8f	2e	39	33	f	2d
8f	2e	39	33	f	d
8f	2e	39	33	f	8d
8f	3e	39	33	f	d
4f	ce	d	3c	f	c9
cf	6	2b	3c	4d	c9
cf	6	39	33	1d	8b
cf	6	29	3c	f	c9
cf	6	39	33	f	89
4f	8e	2b	3c	4d	c9
4f	8e	39	33	1d	8b
8f	2e	2b	3c	4d	c9
8f	2e	39	33	1d	8b
cf	47	9	3d	f	49
cf	47	19	3b	f	9
cf	27	9	3d	f	49
cf	27	19	3b	f	9
cf	87	9	3d	f	49
cf	17	9	3d	f	49
cf	7	9	3d	f	49
cf	87	19	3b	f	9
cf	17	19	3b	f	9
cf	7	19	3b	f	9
4f	8e	29	3c	f	c9
4f	8e	39	33	f	89
8f	2e	29	3c	f	c9
8f	2e	39	33	f	89
8f	3e	29	3c	f	c9
8f	3e	2b	3c	4d	c9
4f	ce	39	33	f	89
4f	ce	39	33	1d	8b
cb	47	8b	3b	f	9
cd	47	9	3d	f	2b
cb	27	8b	3b	f	9
cd	27	9	3d	f	2b
cb	87	8b	3b	f	9
cd	87	9	3d	f	2b
cb	17	8b	3b	f	9
cd	17	9	3d	f	2b
cb	7	8b	3b	f	9
cd	7	9	3d	f	2b
8f	3e	39	33	f	89
4f	ce	29	3c	f	c9
cf	47	19	3d	4d	49
cf	47	19	3b	1d	49
cf	27	19	3d	4d	49
cf	27	19	3b	1d	49
cf	87	19	3d	4d	49
cf	17	19	3d	4d	49
cf	7	19	3d	4d	49
cf	87	19	3b	1d	49
cf	17	19	3b	1d	49
cf	7	19	3b	1d	49
cf	47	4b	3d	c9	49
cf	47	b	3d	c9	49
cf	47	1b	3d	c9	49
cf	47	19	3b	39	4b
cf	47	19	3b	39	b
cf	47	19	3b	39	1b
cf	27	4b	3d	c9	49
cf	27	b	3d	c9	49
cf	27	1b	3d	c9	49
cf	27	19	3b	39	4b
cf	27	19	3b	39	b
cf	27	19	3b	39	1b
cf	87	4b	3d	c9	49
cf	17	4b	3d	c9	49
cf	7	4b	3d	c9	49
cf	87	b	3d	c9	49
cf	87	1b	3d	c9	49
cf	17	b	3d	c9	49
cf	17	1b	3d	c9	49
cf	7	b	3d	c9	49
cf	7	1b	3d	c9	49
cf	87	19	3b	39	4b
cf	17	19	3b	39	4b
cf	7	19	3b	39	4b
cf	87	19	3b	39	b
cf	87	19	3b	39	1b
cf	17	19	3b	39	b
cf	17	19	3b	39	1b
cf	7	19	3b	39	b
cf	7	19	3b	39	1b
8b	2f	8b	3d	4d	49
4d	8f	19	3b	1d	2b
8b	2f	8b	3b	1d	49
4d	8f	19	3d	4d	2b
cf	45	2a	3b	3d	4d
